PERIOD,SystemCostPerYear_Real,SystemDemandPerYear_MWh,EnergyCostReal_per_MWh
2020,135091802169.3475,2054193018.4804928,65.76392819661916
2025,178786196587.10205,2963336377.6158543,60.332737767335104
2030,204449018930.68488,3435319036.0001335,59.51383751790701
2035,228898333515.3128,3886748171.2300553,58.89198976399657
2040,241519668165.26178,4187131631.992984,57.68141281249944
2045,247571425749.28006,4292861952.713216,57.67048381157647
2050,249158070813.9145,4335962630.490977,57.46314995009572
2055,251480901120.81354,4357685846.651045,57.70973630742125
2060,252831238472.14374,4357685846.651045,58.0196111811155
