GENERATION_PROJECT,PERIOD,gen_tech,gen_load_zone,gen_energy_source,BuildGen,BuildStorageEnergy,GenCapitalOutlay
Anhui-Coal_1000_RC-12115,2025,Coal_1000_RC,Anhui,Coal,2.89136e-06,.,1.67379
Anhui-Coal_1000_RC-12115,2030,Coal_1000_RC,Anhui,Coal,4.18843e-06,.,2.42465
Anhui-Coal_1000_RC-12115,2035,Coal_1000_RC,Anhui,Coal,6.76055e-06,.,3.91363
Anhui-Coal_1000_RC-12115,2040,Coal_1000_RC,Anhui,Coal,0.000237892,.,137.714
Anhui-Coal_1000_RC-12115,2045,Coal_1000_RC,Anhui,Coal,0.00013055,.,75.5745
Anhui-Coal_1000_RC-12115,2050,Coal_1000_RC,Anhui,Coal,0.000167542,.,96.9887
Anhui-Coal_1000_RC-12115,2055,Coal_1000_RC,Anhui,Coal,0.000195942,.,113.429
Anhui-Coal_1000_RC-12115,2060,Coal_1000_RC,Anhui,Coal,0.000289289,.,167.467
Anhui-Coal_1000_RC-12125,2020,Coal_1000_RC,Anhui,Coal,6.29241e-06,.,3.64262
Anhui-Coal_1000_RC-12125,2025,Coal_1000_RC,Anhui,Coal,3.00039e-06,.,1.7369
Anhui-Coal_1000_RC-12125,2030,Coal_1000_RC,Anhui,Coal,3.83896e-06,.,2.22234
Anhui-Coal_1000_RC-12125,2035,Coal_1000_RC,Anhui,Coal,6.74741e-06,.,3.90602
Anhui-Coal_1000_RC-12125,2040,Coal_1000_RC,Anhui,Coal,0.000237725,.,137.617
Anhui-Coal_1000_RC-12125,2045,Coal_1000_RC,Anhui,Coal,0.000124593,.,72.1259
Anhui-Coal_1000_RC-12125,2050,Coal_1000_RC,Anhui,Coal,0.000166235,.,96.232
Anhui-Coal_1000_RC-12125,2055,Coal_1000_RC,Anhui,Coal,0.000201877,.,116.865
Anhui-Coal_1000_RC-12125,2060,Coal_1000_RC,Anhui,Coal,0.000289491,.,167.584
Anhui-Coal_300_OT-12111,2020,Coal_300_OT,Anhui,Coal,4.68091e-06,.,2.77068
Anhui-Coal_300_OT-12111,2025,Coal_300_OT,Anhui,Coal,2.09214e-06,.,1.23836
Anhui-Coal_300_OT-12111,2030,Coal_300_OT,Anhui,Coal,3.54592e-06,.,2.09887
Anhui-Coal_300_OT-12111,2035,Coal_300_OT,Anhui,Coal,5.23415e-06,.,3.09815
Anhui-Coal_300_OT-12111,2040,Coal_300_OT,Anhui,Coal,0.000105452,.,62.4182
Anhui-Coal_300_OT-12111,2045,Coal_300_OT,Anhui,Coal,5.82565e-05,.,34.4826
Anhui-Coal_300_OT-12111,2050,Coal_300_OT,Anhui,Coal,7.65193e-05,.,45.2926
Anhui-Coal_300_OT-12111,2055,Coal_300_OT,Anhui,Coal,9.12329e-05,.,54.0018
Anhui-Coal_300_OT-12111,2060,Coal_300_OT,Anhui,Coal,0.000142176,.,84.1554
Anhui-Coal_300_RC-12119,2020,Coal_300_RC,Anhui,Coal,4.55909e-06,.,2.87401
Anhui-Coal_300_RC-12119,2025,Coal_300_RC,Anhui,Coal,2.30338e-06,.,1.45203
Anhui-Coal_300_RC-12119,2030,Coal_300_RC,Anhui,Coal,3.3761e-06,.,2.12827
Anhui-Coal_300_RC-12119,2035,Coal_300_RC,Anhui,Coal,5.15711e-06,.,3.25099
Anhui-Coal_300_RC-12119,2040,Coal_300_RC,Anhui,Coal,6.92551e-05,.,43.6578
Anhui-Coal_300_RC-12119,2045,Coal_300_RC,Anhui,Coal,4.02325e-05,.,25.3622
Anhui-Coal_300_RC-12119,2050,Coal_300_RC,Anhui,Coal,5.20871e-05,.,32.8353
Anhui-Coal_300_RC-12119,2055,Coal_300_RC,Anhui,Coal,5.69969e-05,.,35.9303
Anhui-Coal_300_RC-12119,2060,Coal_300_RC,Anhui,Coal,8.3909e-05,.,52.8955
Anhui-Coal_300_RC-12129,2020,Coal_300_RC,Anhui,Coal,4.55684e-06,.,2.87259
Anhui-Coal_300_RC-12129,2025,Coal_300_RC,Anhui,Coal,2.16599e-06,.,1.36542
Anhui-Coal_300_RC-12129,2030,Coal_300_RC,Anhui,Coal,3.11493e-06,.,1.96362
Anhui-Coal_300_RC-12129,2035,Coal_300_RC,Anhui,Coal,4.95522e-06,.,3.12373
Anhui-Coal_300_RC-12129,2040,Coal_300_RC,Anhui,Coal,6.7718e-05,.,42.6888
Anhui-Coal_300_RC-12129,2045,Coal_300_RC,Anhui,Coal,3.92077e-05,.,24.7162
Anhui-Coal_300_RC-12129,2050,Coal_300_RC,Anhui,Coal,4.85298e-05,.,30.5928
Anhui-Coal_300_RC-12129,2055,Coal_300_RC,Anhui,Coal,5.7325e-05,.,36.1371
Anhui-Coal_300_RC-12129,2060,Coal_300_RC,Anhui,Coal,8.54249e-05,.,53.8511
Anhui-Coal_600_OT-12109,2020,Coal_600_OT,Anhui,Coal,5.39735e-06,.,3.09087
Anhui-Coal_600_OT-12109,2025,Coal_600_OT,Anhui,Coal,2.56845e-06,.,1.47086
Anhui-Coal_600_OT-12109,2030,Coal_600_OT,Anhui,Coal,3.70565e-06,.,2.12209
Anhui-Coal_600_OT-12109,2035,Coal_600_OT,Anhui,Coal,5.95404e-06,.,3.40967
Anhui-Coal_600_OT-12109,2040,Coal_600_OT,Anhui,Coal,0.000251315,.,143.919
Anhui-Coal_600_OT-12109,2045,Coal_600_OT,Anhui,Coal,0.000131788,.,75.4702
Anhui-Coal_600_OT-12109,2050,Coal_600_OT,Anhui,Coal,0.000178145,.,102.017
Anhui-Coal_600_OT-12109,2055,Coal_600_OT,Anhui,Coal,0.00023045,.,131.97
Anhui-Coal_600_OT-12109,2060,Coal_600_OT,Anhui,Coal,0.000362373,.,207.518
Anhui-Coal_600_RC-12117,2020,Coal_600_RC,Anhui,Coal,5.54314e-06,.,3.23304
Anhui-Coal_600_RC-12117,2025,Coal_600_RC,Anhui,Coal,2.63468e-06,.,1.53668
Anhui-Coal_600_RC-12117,2030,Coal_600_RC,Anhui,Coal,3.80319e-06,.,2.21821
Anhui-Coal_600_RC-12117,2035,Coal_600_RC,Anhui,Coal,6.0963e-06,.,3.55567
Anhui-Coal_600_RC-12117,2040,Coal_600_RC,Anhui,Coal,0.000179548,.,104.721
Anhui-Coal_600_RC-12117,2045,Coal_600_RC,Anhui,Coal,9.59192e-05,.,55.9449
Anhui-Coal_600_RC-12117,2050,Coal_600_RC,Anhui,Coal,0.000128316,.,74.8407
Anhui-Coal_600_RC-12117,2055,Coal_600_RC,Anhui,Coal,0.000156768,.,91.435
Anhui-Coal_600_RC-12117,2060,Coal_600_RC,Anhui,Coal,0.000246287,.,143.647
Anhui-Coal_600_RC-12127,2020,Coal_600_RC,Anhui,Coal,5.31969e-06,.,3.10271
Anhui-Coal_600_RC-12127,2025,Coal_600_RC,Anhui,Coal,2.53128e-06,.,1.47637
Anhui-Coal_600_RC-12127,2030,Coal_600_RC,Anhui,Coal,3.64165e-06,.,2.124
Anhui-Coal_600_RC-12127,2035,Coal_600_RC,Anhui,Coal,5.17134e-06,.,3.01619
Anhui-Coal_600_RC-12127,2040,Coal_600_RC,Anhui,Coal,0.000180982,.,105.558
Anhui-Coal_600_RC-12127,2045,Coal_600_RC,Anhui,Coal,9.58723e-05,.,55.9176
Anhui-Coal_600_RC-12127,2050,Coal_600_RC,Anhui,Coal,0.000126449,.,73.7515
Anhui-Coal_600_RC-12127,2055,Coal_600_RC,Anhui,Coal,0.000152109,.,88.7177
Anhui-Coal_600_RC-12127,2060,Coal_600_RC,Anhui,Coal,0.000246126,.,143.553
Anhui-Coal_IGCC_RC-12121,2020,Coal_IGCC_RC,Anhui,Coal,2.11994e-06,.,3.46649
Anhui-Coal_IGCC_RC-12121,2025,Coal_IGCC_RC,Anhui,Coal,1.01162e-06,.,1.65418
Anhui-Coal_IGCC_RC-12121,2030,Coal_IGCC_RC,Anhui,Coal,1.46224e-06,.,2.39102
Anhui-Coal_IGCC_RC-12121,2035,Coal_IGCC_RC,Anhui,Coal,2.23381e-06,.,3.65268
Anhui-Coal_IGCC_RC-12121,2040,Coal_IGCC_RC,Anhui,Coal,7.68807e-06,.,12.5714
Anhui-Coal_IGCC_RC-12121,2045,Coal_IGCC_RC,Anhui,Coal,6.82102e-06,.,11.1536
Anhui-Coal_IGCC_RC-12121,2050,Coal_IGCC_RC,Anhui,Coal,8.86804e-06,.,14.5008
Anhui-Coal_IGCC_RC-12121,2055,Coal_IGCC_RC,Anhui,Coal,8.27557e-06,.,13.532
Anhui-Coal_IGCC_RC-12121,2060,Coal_IGCC_RC,Anhui,Coal,1.27096e-05,.,20.7824
Anhui-Coal_IGCC_RC-12131,2020,Coal_IGCC_RC,Anhui,Coal,2.18962e-06,.,3.58043
Anhui-Coal_IGCC_RC-12131,2025,Coal_IGCC_RC,Anhui,Coal,9.44549e-07,.,1.54451
Anhui-Coal_IGCC_RC-12131,2030,Coal_IGCC_RC,Anhui,Coal,1.45972e-06,.,2.3869
Anhui-Coal_IGCC_RC-12131,2035,Coal_IGCC_RC,Anhui,Coal,2.2319e-06,.,3.64955
Anhui-Coal_IGCC_RC-12131,2040,Coal_IGCC_RC,Anhui,Coal,7.09701e-06,.,11.6049
Anhui-Coal_IGCC_RC-12131,2045,Coal_IGCC_RC,Anhui,Coal,6.54558e-06,.,10.7032
Anhui-Coal_IGCC_RC-12131,2050,Coal_IGCC_RC,Anhui,Coal,8.70395e-06,.,14.2325
Anhui-Coal_IGCC_RC-12131,2055,Coal_IGCC_RC,Anhui,Coal,8.57728e-06,.,14.0254
Anhui-Coal_IGCC_RC-12131,2060,Coal_IGCC_RC,Anhui,Coal,1.18806e-05,.,19.4269
Anhui-Commercial_PV-2,2020,Commercial_PV,Anhui,Solar,8.68413e-07,.,1.30262
Anhui-Commercial_PV-2,2025,Commercial_PV,Anhui,Solar,4.37557e-07,.,0.656336
Anhui-Commercial_PV-2,2030,Commercial_PV,Anhui,Solar,6.2317e-07,.,0.934755
Anhui-Commercial_PV-2,2035,Commercial_PV,Anhui,Solar,9.44571e-07,.,1.41686
Anhui-Commercial_PV-2,2040,Commercial_PV,Anhui,Solar,2.50911e-06,.,3.76366
Anhui-Commercial_PV-2,2045,Commercial_PV,Anhui,Solar,2.60192e-06,.,3.90288
Anhui-Commercial_PV-2,2050,Commercial_PV,Anhui,Solar,3.87906e-06,.,5.81859
Anhui-Commercial_PV-2,2055,Commercial_PV,Anhui,Solar,6.77539e-06,.,10.1631
Anhui-Commercial_PV-2,2060,Commercial_PV,Anhui,Solar,1.04293e-05,.,15.644
Anhui-Commercial_PV-3,2020,Commercial_PV,Anhui,Solar,8.68413e-07,.,1.30262
Anhui-Commercial_PV-3,2025,Commercial_PV,Anhui,Solar,4.37557e-07,.,0.656336
Anhui-Commercial_PV-3,2030,Commercial_PV,Anhui,Solar,6.2317e-07,.,0.934755
Anhui-Commercial_PV-3,2035,Commercial_PV,Anhui,Solar,9.44571e-07,.,1.41686
Anhui-Commercial_PV-3,2040,Commercial_PV,Anhui,Solar,2.50911e-06,.,3.76367
Anhui-Commercial_PV-3,2045,Commercial_PV,Anhui,Solar,2.60192e-06,.,3.90287
Anhui-Commercial_PV-3,2050,Commercial_PV,Anhui,Solar,3.87906e-06,.,5.81859
Anhui-Commercial_PV-3,2055,Commercial_PV,Anhui,Solar,6.77537e-06,.,10.1631
Anhui-Commercial_PV-3,2060,Commercial_PV,Anhui,Solar,1.04293e-05,.,15.644
Anhui-Commercial_PV-4,2020,Commercial_PV,Anhui,Solar,8.68413e-07,.,1.30262
Anhui-Commercial_PV-4,2025,Commercial_PV,Anhui,Solar,4.37557e-07,.,0.656336
Anhui-Commercial_PV-4,2030,Commercial_PV,Anhui,Solar,6.23169e-07,.,0.934754
Anhui-Commercial_PV-4,2035,Commercial_PV,Anhui,Solar,9.4457e-07,.,1.41686
Anhui-Commercial_PV-4,2040,Commercial_PV,Anhui,Solar,2.50911e-06,.,3.76367
Anhui-Commercial_PV-4,2045,Commercial_PV,Anhui,Solar,2.60191e-06,.,3.90287
Anhui-Commercial_PV-4,2050,Commercial_PV,Anhui,Solar,3.87906e-06,.,5.81859
Anhui-Commercial_PV-4,2055,Commercial_PV,Anhui,Solar,6.77538e-06,.,10.1631
Anhui-Commercial_PV-4,2060,Commercial_PV,Anhui,Solar,1.04294e-05,.,15.6441
Anhui-Gas_CCGT_OT-12113,2020,Gas_CCGT_OT,Anhui,Gas,2.08049e-06,.,1.3854
Anhui-Gas_CCGT_OT-12113,2025,Gas_CCGT_OT,Anhui,Gas,1.00336e-06,.,0.668137
Anhui-Gas_CCGT_OT-12113,2030,Gas_CCGT_OT,Anhui,Gas,1.33038e-06,.,0.8859
Anhui-Gas_CCGT_OT-12113,2035,Gas_CCGT_OT,Anhui,Gas,2.10148e-06,.,1.39938
Anhui-Gas_CCGT_OT-12113,2040,Gas_CCGT_OT,Anhui,Gas,1.89526e-05,.,12.6205
Anhui-Gas_CCGT_OT-12113,2045,Gas_CCGT_OT,Anhui,Gas,1.20833e-05,.,8.04629
Anhui-Gas_CCGT_OT-12113,2050,Gas_CCGT_OT,Anhui,Gas,1.71892e-05,.,11.4463
Anhui-Gas_CCGT_OT-12113,2055,Gas_CCGT_OT,Anhui,Gas,2.63512e-05,.,17.5473
Anhui-Gas_CCGT_OT-12113,2060,Gas_CCGT_OT,Anhui,Gas,5.44357e-05,.,36.2487
Anhui-Gas_CCGT_RC-12123,2020,Gas_CCGT_RC,Anhui,Gas,2.0118e-06,.,1.33966
Anhui-Gas_CCGT_RC-12123,2025,Gas_CCGT_RC,Anhui,Gas,9.7224e-07,.,0.647415
Anhui-Gas_CCGT_RC-12123,2030,Gas_CCGT_RC,Anhui,Gas,1.29628e-06,.,0.863194
Anhui-Gas_CCGT_RC-12123,2035,Gas_CCGT_RC,Anhui,Gas,2.05267e-06,.,1.36688
Anhui-Gas_CCGT_RC-12123,2040,Gas_CCGT_RC,Anhui,Gas,1.88068e-05,.,12.5234
Anhui-Gas_CCGT_RC-12123,2045,Gas_CCGT_RC,Anhui,Gas,1.19629e-05,.,7.96611
Anhui-Gas_CCGT_RC-12123,2050,Gas_CCGT_RC,Anhui,Gas,1.70217e-05,.,11.3348
Anhui-Gas_CCGT_RC-12123,2055,Gas_CCGT_RC,Anhui,Gas,2.59751e-05,.,17.2968
Anhui-Gas_CCGT_RC-12123,2060,Gas_CCGT_RC,Anhui,Gas,5.37843e-05,.,35.815
Anhui-Gas_CCGT_RC-12133,2020,Gas_CCGT_RC,Anhui,Gas,2.02595e-06,.,1.34908
Anhui-Gas_CCGT_RC-12133,2025,Gas_CCGT_RC,Anhui,Gas,9.78425e-07,.,0.651533
Anhui-Gas_CCGT_RC-12133,2030,Gas_CCGT_RC,Anhui,Gas,1.30247e-06,.,0.867315
Anhui-Gas_CCGT_RC-12133,2035,Gas_CCGT_RC,Anhui,Gas,2.02831e-06,.,1.35065
Anhui-Gas_CCGT_RC-12133,2040,Gas_CCGT_RC,Anhui,Gas,1.87596e-05,.,12.492
Anhui-Gas_CCGT_RC-12133,2045,Gas_CCGT_RC,Anhui,Gas,1.19467e-05,.,7.95528
Anhui-Gas_CCGT_RC-12133,2050,Gas_CCGT_RC,Anhui,Gas,1.69942e-05,.,11.3165
Anhui-Gas_CCGT_RC-12133,2055,Gas_CCGT_RC,Anhui,Gas,2.58844e-05,.,17.2364
Anhui-Gas_CCGT_RC-12133,2060,Gas_CCGT_RC,Anhui,Gas,5.36537e-05,.,35.728
Anhui-Gas_Combustion_Turbine_RC-13107,2020,Gas_Combustion_Turbine_RC,Anhui,Gas,2.36338e-06,.,1.14539
Anhui-Gas_Combustion_Turbine_RC-13107,2025,Gas_Combustion_Turbine_RC,Anhui,Gas,1.15621e-06,.,0.560349
Anhui-Gas_Combustion_Turbine_RC-13107,2030,Gas_Combustion_Turbine_RC,Anhui,Gas,1.58024e-06,.,0.765853
Anhui-Gas_Combustion_Turbine_RC-13107,2035,Gas_Combustion_Turbine_RC,Anhui,Gas,2.59887e-06,.,1.25952
Anhui-Gas_Combustion_Turbine_RC-13107,2040,Gas_Combustion_Turbine_RC,Anhui,Gas,0.000160463,.,77.7675
