GENERATION_PROJECT,PERIOD,gen_tech,gen_load_zone,gen_energy_source,GenCapacity,SuspendGen_total,GenStorageCapacity,GenCapitalRecovery,GenFixedOMCosts
Anhui-Battery_Storage-11177,2020,Battery_Storage,Anhui,Storage,2.33062e-06,0,9.32247e-06,0.841077,0.0312792
Anhui-Battery_Storage-11177,2025,Battery_Storage,Anhui,Storage,4.70937e-06,0,1.88375e-05,1.41842,0.0552237
Anhui-Battery_Storage-11177,2030,Battery_Storage,Anhui,Storage,1.05005e-05,0,4.20019e-05,2.35455,0.0939604
Anhui-Battery_Storage-11177,2035,Battery_Storage,Anhui,Storage,2.0837e-05,0,8.33481e-05,3.11308,0.131084
Anhui-Battery_Storage-11177,2040,Battery_Storage,Anhui,Storage,3.98994e-05,0,0.000159598,4.87651,0.210057
Anhui-Battery_Storage-11177,2045,Battery_Storage,Anhui,Storage,6.26245e-05,0,0.000250498,6.76513,0.301354
Anhui-Battery_Storage-11177,2050,Battery_Storage,Anhui,Storage,0.000203977,0,0.000815907,18.9854,0.879833
Anhui-Battery_Storage-11177,2055,Battery_Storage,Anhui,Storage,0.0016802,0,0.00672079,146.602,6.88737
Anhui-Battery_Storage-11177,2060,Battery_Storage,Anhui,Storage,669.102,0,2676.41,5.63964e+07,2.64964e+06
Anhui-Central_PV-401,2020,Central_PV,Anhui,Solar,1.44038e-06,0,.,0.176487,0.0172845
Anhui-Central_PV-401,2025,Central_PV,Anhui,Solar,4.39118e-06,0,.,0.44788,0.0438418
Anhui-Central_PV-401,2030,Central_PV,Anhui,Solar,4307.73,0,.,3.06688e+08,2.99818e+07
Anhui-Central_PV-401,2035,Central_PV,Anhui,Solar,8500,0,.,5.64164e+08,5.51354e+07
Anhui-Central_PV-401,2040,Central_PV,Anhui,Solar,8500,0,.,5.64164e+08,5.51354e+07
Anhui-Central_PV-401,2045,Central_PV,Anhui,Solar,8500,0,.,5.64164e+08,5.51354e+07
Anhui-Central_PV-401,2050,Central_PV,Anhui,Solar,4192.27,0,.,2.57476e+08,2.51536e+07
Anhui-Central_PV-401,2055,Central_PV,Anhui,Solar,8500,0,.,4.07765e+08,3.978e+07
Anhui-Central_PV-401,2060,Central_PV,Anhui,Solar,8500,0,.,4.07765e+08,3.978e+07
Anhui-Central_PV-402,2020,Central_PV,Anhui,Solar,1.44038e-06,0,.,0.176487,0.0172845
Anhui-Central_PV-402,2025,Central_PV,Anhui,Solar,4.39118e-06,0,.,0.44788,0.0438418
Anhui-Central_PV-402,2030,Central_PV,Anhui,Solar,4307.74,0,.,3.06688e+08,2.99818e+07
Anhui-Central_PV-402,2035,Central_PV,Anhui,Solar,8500,0,.,5.64164e+08,5.51354e+07
Anhui-Central_PV-402,2040,Central_PV,Anhui,Solar,8500,0,.,5.64164e+08,5.51354e+07
Anhui-Central_PV-402,2045,Central_PV,Anhui,Solar,8500,0,.,5.64164e+08,5.51354e+07
Anhui-Central_PV-402,2050,Central_PV,Anhui,Solar,4192.26,0,.,2.57476e+08,2.51536e+07
Anhui-Central_PV-402,2055,Central_PV,Anhui,Solar,8500,0,.,4.07765e+08,3.978e+07
Anhui-Central_PV-402,2060,Central_PV,Anhui,Solar,8500,0,.,4.07765e+08,3.978e+07
Anhui-Central_PV-403,2020,Central_PV,Anhui,Solar,1.44038e-06,0,.,0.176487,0.0172845
Anhui-Central_PV-403,2025,Central_PV,Anhui,Solar,4.39118e-06,0,.,0.44788,0.0438417
Anhui-Central_PV-403,2030,Central_PV,Anhui,Solar,4307.74,0,.,3.06688e+08,2.99818e+07
Anhui-Central_PV-403,2035,Central_PV,Anhui,Solar,8500,0,.,5.64164e+08,5.51354e+07
Anhui-Central_PV-403,2040,Central_PV,Anhui,Solar,8500,0,.,5.64164e+08,5.51354e+07
Anhui-Central_PV-403,2045,Central_PV,Anhui,Solar,8500,0,.,5.64164e+08,5.51354e+07
Anhui-Central_PV-403,2050,Central_PV,Anhui,Solar,4192.26,0,.,2.57476e+08,2.51536e+07
Anhui-Central_PV-403,2055,Central_PV,Anhui,Solar,8500,0,.,4.07765e+08,3.978e+07
Anhui-Central_PV-403,2060,Central_PV,Anhui,Solar,8500,0,.,4.07765e+08,3.978e+07
Anhui-Central_PV-404,2020,Central_PV,Anhui,Solar,1.44038e-06,0,.,0.176487,0.0172845
Anhui-Central_PV-404,2025,Central_PV,Anhui,Solar,4.39118e-06,0,.,0.44788,0.0438418
Anhui-Central_PV-404,2030,Central_PV,Anhui,Solar,4201.02,0,.,2.9909e+08,2.92391e+07
Anhui-Central_PV-404,2035,Central_PV,Anhui,Solar,8500,0,.,5.6312e+08,5.5033e+07
Anhui-Central_PV-404,2040,Central_PV,Anhui,Solar,8500,0,.,5.6312e+08,5.5033e+07
Anhui-Central_PV-404,2045,Central_PV,Anhui,Solar,8500,0,.,5.6312e+08,5.5033e+07
Anhui-Central_PV-404,2050,Central_PV,Anhui,Solar,4298.98,0,.,2.6403e+08,2.57939e+07
Anhui-Central_PV-404,2055,Central_PV,Anhui,Solar,8500,0,.,4.07765e+08,3.978e+07
Anhui-Central_PV-404,2060,Central_PV,Anhui,Solar,8500,0,.,4.07765e+08,3.978e+07
Anhui-Coal_1000_OT-12107,2020,Coal_1000_OT,Anhui,Coal,8.71481e-06,0,.,0.402018,0.0439575
Anhui-Coal_1000_OT-12107,2025,Coal_1000_OT,Anhui,Coal,1.2477e-05,0,.,0.575569,0.062934
Anhui-Coal_1000_OT-12107,2030,Coal_1000_OT,Anhui,Coal,1.78563e-05,0,.,0.823717,0.090067
Anhui-Coal_1000_OT-12107,2035,Coal_1000_OT,Anhui,Coal,2.30108e-05,0,.,1.0615,0.116067
Anhui-Coal_1000_OT-12107,2040,Coal_1000_OT,Anhui,Coal,4.06968e-05,0,.,1.87736,0.205275
Anhui-Coal_1000_OT-12107,2045,Coal_1000_OT,Anhui,Coal,6.15965e-05,0,.,2.84147,0.310693
Anhui-Coal_1000_OT-12107,2050,Coal_1000_OT,Anhui,Coal,15418.9,0,.,7.11278e+08,7.77727e+07
Anhui-Coal_1000_OT-12107,2055,Coal_1000_OT,Anhui,Coal,43719.7,0,.,2.0168e+09,2.20522e+08
Anhui-Coal_1000_OT-12107,2060,Coal_1000_OT,Anhui,Coal,56957,0,.,2.62745e+09,2.87291e+08
Anhui-Coal_1000_RC-12115,2020,Coal_1000_RC,Anhui,Coal,8.36132e-06,0,.,0.405909,0.0443903
Anhui-Coal_1000_RC-12115,2025,Coal_1000_RC,Anhui,Coal,1.19813e-05,0,.,0.581644,0.0636087
Anhui-Coal_1000_RC-12115,2030,Coal_1000_RC,Anhui,Coal,1.71582e-05,0,.,0.832961,0.0910928
Anhui-Coal_1000_RC-12115,2035,Coal_1000_RC,Anhui,Coal,2.21617e-05,0,.,1.07586,0.117656
Anhui-Coal_1000_RC-12115,2040,Coal_1000_RC,Anhui,Coal,4.025e-05,0,.,1.95398,0.213687
Anhui-Coal_1000_RC-12115,2045,Coal_1000_RC,Anhui,Coal,6.1449e-05,0,.,2.9831,0.326233
Anhui-Coal_1000_RC-12115,2050,Coal_1000_RC,Anhui,Coal,0.000803596,0,.,39.0114,4.26629
Anhui-Coal_1000_RC-12115,2055,Coal_1000_RC,Anhui,Coal,0.00108692,0,.,52.7657,5.77048
Anhui-Coal_1000_RC-12115,2060,Coal_1000_RC,Anhui,Coal,0.00153891,0,.,74.7079,8.17007
Anhui-Coal_1000_RC-12125,2020,Coal_1000_RC,Anhui,Coal,8.70524e-06,0,.,0.422604,0.0462161
Anhui-Coal_1000_RC-12125,2025,Coal_1000_RC,Anhui,Coal,1.24525e-05,0,.,0.604519,0.0661103
Anhui-Coal_1000_RC-12125,2030,Coal_1000_RC,Anhui,Coal,1.71773e-05,0,.,0.83389,0.0911944
Anhui-Coal_1000_RC-12125,2035,Coal_1000_RC,Anhui,Coal,2.21628e-05,0,.,1.07592,0.117663
Anhui-Coal_1000_RC-12125,2040,Coal_1000_RC,Anhui,Coal,4.02255e-05,0,.,1.95278,0.213557
Anhui-Coal_1000_RC-12125,2045,Coal_1000_RC,Anhui,Coal,5.96455e-05,0,.,2.89555,0.316658
Anhui-Coal_1000_RC-12125,2050,Coal_1000_RC,Anhui,Coal,0.000786702,0,.,38.1912,4.1766
Anhui-Coal_1000_RC-12125,2055,Coal_1000_RC,Anhui,Coal,0.00108355,0,.,52.6018,5.75254
Anhui-Coal_1000_RC-12125,2060,Coal_1000_RC,Anhui,Coal,0.00153873,0,.,74.699,8.1691
Anhui-Coal_300_OT-12111,2020,Coal_300_OT,Anhui,Coal,6.00273e-06,0,.,0.304866,0.0341495
Anhui-Coal_300_OT-12111,2025,Coal_300_OT,Anhui,Coal,8.0837e-06,0,.,0.410554,0.0459881
Anhui-Coal_300_OT-12111,2030,Coal_300_OT,Anhui,Coal,1.1607e-05,0,.,0.589494,0.066032
Anhui-Coal_300_OT-12111,2035,Coal_300_OT,Anhui,Coal,1.39401e-05,0,.,0.707988,0.0793052
Anhui-Coal_300_OT-12111,2040,Coal_300_OT,Anhui,Coal,3.13952e-05,0,.,1.5945,0.178607
Anhui-Coal_300_OT-12111,2045,Coal_300_OT,Anhui,Coal,4.65268e-05,0,.,2.363,0.264691
Anhui-Coal_300_OT-12111,2050,Coal_300_OT,Anhui,Coal,0.000368255,0,.,18.7029,2.095
Anhui-Coal_300_OT-12111,2055,Coal_300_OT,Anhui,Coal,0.00050582,0,.,25.6896,2.87761
Anhui-Coal_300_OT-12111,2060,Coal_300_OT,Anhui,Coal,0.000721079,0,.,36.6221,4.10222
Anhui-Coal_300_RC-12119,2020,Coal_300_RC,Anhui,Coal,5.85725e-06,0,.,0.316816,0.0354891
Anhui-Coal_300_RC-12119,2025,Coal_300_RC,Anhui,Coal,8.16434e-06,0,.,0.441606,0.0494677
Anhui-Coal_300_RC-12119,2030,Coal_300_RC,Anhui,Coal,1.14995e-05,0,.,0.622002,0.0696753
Anhui-Coal_300_RC-12119,2035,Coal_300_RC,Anhui,Coal,1.37063e-05,0,.,0.741367,0.0830463
Anhui-Coal_300_RC-12119,2040,Coal_300_RC,Anhui,Coal,3.11452e-05,0,.,1.68463,0.188709
Anhui-Coal_300_RC-12119,2045,Coal_300_RC,Anhui,Coal,4.61181e-05,0,.,2.49451,0.279429
Anhui-Coal_300_RC-12119,2050,Coal_300_RC,Anhui,Coal,0.000257067,0,.,13.9047,1.55757
Anhui-Coal_300_RC-12119,2055,Coal_300_RC,Anhui,Coal,0.000343564,0,.,18.5832,2.08165
Anhui-Coal_300_RC-12119,2060,Coal_300_RC,Anhui,Coal,0.000475069,0,.,25.6963,2.87844
Anhui-Coal_300_RC-12129,2020,Coal_300_RC,Anhui,Coal,5.85317e-06,0,.,0.316596,0.0354644
Anhui-Coal_300_RC-12129,2025,Coal_300_RC,Anhui,Coal,8.0144e-06,0,.,0.433496,0.0485593
Anhui-Coal_300_RC-12129,2030,Coal_300_RC,Anhui,Coal,1.11096e-05,0,.,0.600911,0.0673128
Anhui-Coal_300_RC-12129,2035,Coal_300_RC,Anhui,Coal,1.33291e-05,0,.,0.720967,0.0807612
Anhui-Coal_300_RC-12129,2040,Coal_300_RC,Anhui,Coal,2.99115e-05,0,.,1.6179,0.181234
Anhui-Coal_300_RC-12129,2045,Coal_300_RC,Anhui,Coal,4.43145e-05,0,.,2.39695,0.268502
Anhui-Coal_300_RC-12129,2050,Coal_300_RC,Anhui,Coal,0.000245853,0,.,13.2981,1.48962
Anhui-Coal_300_RC-12129,2055,Coal_300_RC,Anhui,Coal,0.000332936,0,.,18.0084,2.01726
Anhui-Coal_300_RC-12129,2060,Coal_300_RC,Anhui,Coal,0.000467254,0,.,25.2736,2.83109
Anhui-Coal_600_OT-12109,2020,Coal_600_OT,Anhui,Coal,7.06257e-06,0,.,0.33917,0.0370855
Anhui-Coal_600_OT-12109,2025,Coal_600_OT,Anhui,Coal,9.7601e-06,0,.,0.468716,0.0512503
Anhui-Coal_600_OT-12109,2030,Coal_600_OT,Anhui,Coal,1.36218e-05,0,.,0.654168,0.071528
Anhui-Coal_600_OT-12109,2035,Coal_600_OT,Anhui,Coal,1.64914e-05,0,.,0.79198,0.0865965
Anhui-Coal_600_OT-12109,2040,Coal_600_OT,Anhui,Coal,3.55605e-05,0,.,1.70775,0.186728
Anhui-Coal_600_OT-12109,2045,Coal_600_OT,Anhui,Coal,5.27194e-05,0,.,2.53178,0.276829
Anhui-Coal_600_OT-12109,2050,Coal_600_OT,Anhui,Coal,0.000822412,0,.,39.4953,4.31848
Anhui-Coal_600_OT-12109,2055,Coal_600_OT,Anhui,Coal,0.00117936,0,.,56.6372,6.19281
Anhui-Coal_600_OT-12109,2060,Coal_600_OT,Anhui,Coal,0.00171161,0,.,82.1978,8.98766
Anhui-Coal_600_RC-12117,2020,Coal_600_RC,Anhui,Coal,7.24916e-06,0,.,0.354568,0.0387758
Anhui-Coal_600_RC-12117,2025,Coal_600_RC,Anhui,Coal,1.00054e-05,0,.,0.489381,0.0535191
Anhui-Coal_600_RC-12117,2030,Coal_600_RC,Anhui,Coal,1.39528e-05,0,.,0.682453,0.0746336
Anhui-Coal_600_RC-12117,2035,Coal_600_RC,Anhui,Coal,1.67945e-05,0,.,0.821443,0.0898336
Anhui-Coal_600_RC-12117,2040,Coal_600_RC,Anhui,Coal,3.50596e-05,0,.,1.71482,0.187534
Anhui-Coal_600_RC-12117,2045,Coal_600_RC,Anhui,Coal,5.19618e-05,0,.,2.54153,0.277944
Anhui-Coal_600_RC-12117,2050,Coal_600_RC,Anhui,Coal,0.000602808,0,.,29.4843,3.22442
Anhui-Coal_600_RC-12117,2055,Coal_600_RC,Anhui,Coal,0.000847616,0,.,41.4582,4.5339
Anhui-Coal_600_RC-12117,2060,Coal_600_RC,Anhui,Coal,0.00121525,0,.,59.4397,6.50037
Anhui-Coal_600_RC-12127,2020,Coal_600_RC,Anhui,Coal,6.96559e-06,0,.,0.340698,0.0372589
Anhui-Coal_600_RC-12127,2025,Coal_600_RC,Anhui,Coal,9.6278e-06,0,.,0.47091,0.0514991
Anhui-Coal_600_RC-12127,2030,Coal_600_RC,Anhui,Coal,1.33985e-05,0,.,0.655342,0.0716687
Anhui-Coal_600_RC-12127,2035,Coal_600_RC,Anhui,Coal,1.58293e-05,0,.,0.774234,0.0846708
Anhui-Coal_600_RC-12127,2040,Coal_600_RC,Anhui,Coal,3.50493e-05,0,.,1.71431,0.187479
Anhui-Coal_600_RC-12127,2045,Coal_600_RC,Anhui,Coal,5.19649e-05,0,.,2.54168,0.27796
Anhui-Coal_600_RC-12127,2050,Coal_600_RC,Anhui,Coal,0.000602259,0,.,29.4574,3.22148
Anhui-Coal_600_RC-12127,2055,Coal_600_RC,Anhui,Coal,0.000837283,0,.,40.9528,4.47863
Anhui-Coal_600_RC-12127,2060,Coal_600_RC,Anhui,Coal,0.00120051,0,.,58.7187,6.42152
Anhui-Coal_IGCC_RC-12121,2020,Coal_IGCC_RC,Anhui,Coal,2.85477e-06,0,.,0.391464,0.0428215
Anhui-Coal_IGCC_RC-12121,2025,Coal_IGCC_RC,Anhui,Coal,3.99409e-06,0,.,0.547696,0.0599114
Anhui-Coal_IGCC_RC-12121,2030,Coal_IGCC_RC,Anhui,Coal,5.61934e-06,0,.,0.770561,0.0842902
Anhui-Coal_IGCC_RC-12121,2035,Coal_IGCC_RC,Anhui,Coal,6.88937e-06,0,.,0.944715,0.103341
Anhui-Coal_IGCC_RC-12121,2040,Coal_IGCC_RC,Anhui,Coal,1.46637e-05,0,.,2.01078,0.219955
