PERIOD,SystemCostPerYear_Real,SystemDemandPerYear_MWh,EnergyCostReal_per_MWh
2020,135443037090.56041,2054193018.4804928,65.93491257737259
2025,192865132886.9704,2963336377.6158543,65.08378000682447
2030,232709532417.81653,3435319036.0001335,67.74029718321844
2035,320813326555.6499,3886748171.2300553,82.540291375276
2040,282815268975.7007,4187131631.992984,67.5439164163766
2045,286838903769.2617,4292861952.713216,66.81763982370107
2050,277047727690.0267,4335962630.490977,63.89532182353138
2055,252203221941.82825,4357685846.651045,57.87549419966808
2060,246290044142.89258,4357685846.651045,56.51854053044476
