GENERATION_PROJECT,PERIOD,gen_tech,gen_load_zone,gen_energy_source,BuildGen,BuildStorageEnergy,GenCapitalOutlay
Anhui-Battery_Storage-11177,2020,Battery_Storage,Anhui,Storage,2.33062e-06,9.32247e-06,7.19918
Anhui-Battery_Storage-11177,2025,Battery_Storage,Anhui,Storage,2.37875e-06,9.51501e-06,4.94178
Anhui-Battery_Storage-11177,2030,Battery_Storage,Anhui,Storage,5.7911e-06,2.31644e-05,8.01277
Anhui-Battery_Storage-11177,2035,Battery_Storage,Anhui,Storage,1.26672e-05,5.06687e-05,13.6918
Anhui-Battery_Storage-11177,2040,Battery_Storage,Anhui,Storage,2.14411e-05,8.57645e-05,20.0358
Anhui-Battery_Storage-11177,2045,Battery_Storage,Anhui,Storage,2.85161e-05,0.000114065,24.1784
Anhui-Battery_Storage-11177,2050,Battery_Storage,Anhui,Storage,0.00015402,0.000616078,118.291
Anhui-Battery_Storage-11177,2055,Battery_Storage,Anhui,Storage,0.00149766,0.00599064,1112.37
Anhui-Battery_Storage-11177,2060,Battery_Storage,Anhui,Storage,669.1,2676.4,4.82723e+08
Anhui-Central_PV-401,2020,Central_PV,Anhui,Solar,1.44038e-06,.,1.73277
Anhui-Central_PV-401,2025,Central_PV,Anhui,Solar,2.9508e-06,.,2.66458
Anhui-Central_PV-401,2030,Central_PV,Anhui,Solar,4307.73,.,3.01111e+09
Anhui-Central_PV-401,2035,Central_PV,Anhui,Solar,4192.27,.,2.52794e+09
Anhui-Central_PV-401,2040,Central_PV,Anhui,Solar,1.54837e-07,.,0.0840763
Anhui-Central_PV-401,2045,Central_PV,Anhui,Solar,4.18423e-07,.,0.212141
Anhui-Central_PV-401,2050,Central_PV,Anhui,Solar,3.9711e-06,.,1.91804
Anhui-Central_PV-401,2055,Central_PV,Anhui,Solar,8500,.,4.0035e+09
Anhui-Central_PV-401,2060,Central_PV,Anhui,Solar,2.46815e-05,.,11.3288
Anhui-Central_PV-402,2020,Central_PV,Anhui,Solar,1.44038e-06,.,1.73277
Anhui-Central_PV-402,2025,Central_PV,Anhui,Solar,2.9508e-06,.,2.66458
Anhui-Central_PV-402,2030,Central_PV,Anhui,Solar,4307.74,.,3.01111e+09
Anhui-Central_PV-402,2035,Central_PV,Anhui,Solar,4192.26,.,2.52794e+09
Anhui-Central_PV-402,2040,Central_PV,Anhui,Solar,1.54837e-07,.,0.0840763
Anhui-Central_PV-402,2045,Central_PV,Anhui,Solar,4.18423e-07,.,0.212141
Anhui-Central_PV-402,2050,Central_PV,Anhui,Solar,3.9711e-06,.,1.91804
Anhui-Central_PV-402,2055,Central_PV,Anhui,Solar,8500,.,4.0035e+09
Anhui-Central_PV-402,2060,Central_PV,Anhui,Solar,2.46815e-05,.,11.3288
Anhui-Central_PV-403,2020,Central_PV,Anhui,Solar,1.44038e-06,.,1.73277
Anhui-Central_PV-403,2025,Central_PV,Anhui,Solar,2.9508e-06,.,2.66458
Anhui-Central_PV-403,2030,Central_PV,Anhui,Solar,4307.74,.,3.01111e+09
Anhui-Central_PV-403,2035,Central_PV,Anhui,Solar,4192.26,.,2.52793e+09
Anhui-Central_PV-403,2040,Central_PV,Anhui,Solar,1.54837e-07,.,0.0840763
Anhui-Central_PV-403,2045,Central_PV,Anhui,Solar,4.18423e-07,.,0.212141
