GENERATION_PROJECT,gen_loading_level,gen_heat_rate_at_loading_level
Jiangsu-Coal_300_OT-12021,0.4,9.589
Jiangsu-Coal_300_OT-12021,1.0,8.92
Jiangsu-Coal_300_RC-11949,0.4,9.589
Jiangsu-Coal_300_RC-11949,1.0,8.92
Jiangsu-Coal_300_RC-11967,0.4,9.589
Jiangsu-Coal_300_RC-11967,1.0,8.92
Jiangsu-Coal_300_RC-11985,0.4,9.589
Jiangsu-Coal_300_RC-11985,1.0,8.92
Jiangsu-Coal_300_RC-12011,0.4,9.589
Jiangsu-Coal_300_RC-12011,1.0,8.92
Jiangsu-Coal_300_RC-12029,0.4,9.589
Jiangsu-Coal_300_RC-12029,1.0,8.92
Jiangsu-Coal_300_SEA-11995,0.4,9.589
Jiangsu-Coal_300_SEA-11995,1.0,8.92
Jiangsu-Coal_600_OT-11939,0.4,9.08375
Jiangsu-Coal_600_OT-11939,1.0,8.45
Jiangsu-Coal_600_OT-11957,0.4,9.08375
Jiangsu-Coal_600_OT-11957,1.0,8.45
Jiangsu-Coal_600_OT-11975,0.4,9.08375
Jiangsu-Coal_600_OT-11975,1.0,8.45
Jiangsu-Coal_600_OT-12001,0.4,9.08375
Jiangsu-Coal_600_OT-12001,1.0,8.45
Jiangsu-Coal_600_OT-12019,0.4,9.08375
Jiangsu-Coal_600_OT-12019,1.0,8.45
Jiangsu-Coal_600_RC-11947,0.4,9.08375
Jiangsu-Coal_600_RC-11947,1.0,8.45
Jiangsu-Coal_600_RC-11965,0.4,9.08375
Jiangsu-Coal_600_RC-11965,1.0,8.45
Jiangsu-Coal_600_RC-11983,0.4,9.08375
Jiangsu-Coal_600_RC-11983,1.0,8.45
Jiangsu-Coal_600_RC-12009,0.4,9.08375
Jiangsu-Coal_600_RC-12009,1.0,8.45
Jiangsu-Coal_600_RC-12027,0.4,9.08375
Jiangsu-Coal_600_RC-12027,1.0,8.45
Jiangsu-Coal_600_SEA-11993,0.4,9.08375
Jiangsu-Coal_600_SEA-11993,1.0,8.45
Jiangsu-Coal_IGCC_RC-11951,0.4,12.75715
Jiangsu-Coal_IGCC_RC-11951,1.0,8.89
Jiangsu-Coal_IGCC_RC-11969,0.4,12.75715
Jiangsu-Coal_IGCC_RC-11969,1.0,8.89
Jiangsu-Coal_IGCC_RC-11987,0.4,12.75715
Jiangsu-Coal_IGCC_RC-11987,1.0,8.89
Jiangsu-Coal_IGCC_RC-12013,0.4,12.75715
Jiangsu-Coal_IGCC_RC-12013,1.0,8.89
Jiangsu-Coal_IGCC_RC-12031,0.4,12.75715
Jiangsu-Coal_IGCC_RC-12031,1.0,8.89
Jiangsu-Gas_CCGT_OT-11943,0.45,8.88978
Jiangsu-Gas_CCGT_OT-11943,1.0,6.47
Jiangsu-Gas_CCGT_OT-11961,0.45,8.88978
Jiangsu-Gas_CCGT_OT-11961,1.0,6.47
Jiangsu-Gas_CCGT_OT-11979,0.45,8.88978
Jiangsu-Gas_CCGT_OT-11979,1.0,6.47
Jiangsu-Gas_CCGT_OT-12005,0.45,8.88978
Jiangsu-Gas_CCGT_OT-12005,1.0,6.47
Jiangsu-Gas_CCGT_OT-12023,0.45,8.88978
Jiangsu-Gas_CCGT_OT-12023,1.0,6.47
Jiangsu-Gas_CCGT_RC-11953,0.45,9.64548
Jiangsu-Gas_CCGT_RC-11953,1.0,7.02
Jiangsu-Gas_CCGT_RC-11971,0.45,9.64548
Jiangsu-Gas_CCGT_RC-11971,1.0,7.02
Jiangsu-Gas_CCGT_RC-11989,0.45,9.64548
Jiangsu-Gas_CCGT_RC-11989,1.0,7.02
Jiangsu-Gas_CCGT_RC-12015,0.45,9.64548
Jiangsu-Gas_CCGT_RC-12015,1.0,7.02
Jiangsu-Gas_CCGT_RC-12033,0.45,9.64548
Jiangsu-Gas_CCGT_RC-12033,1.0,7.02
Jiangsu-Gas_CCGT_SEA-11997,0.45,8.88978
Jiangsu-Gas_CCGT_SEA-11997,1.0,6.47
Jiangsu-Gas_Combustion_Turbine_RC-13141,0.4,11.03368
Jiangsu-Gas_Combustion_Turbine_RC-13141,1.0,9.76
Shanghai-Coal_1000_OT-11911,0.4,8.471
Shanghai-Coal_1000_OT-11911,1.0,7.88
Shanghai-Coal_1000_RC-11919,0.4,8.471
Shanghai-Coal_1000_RC-11919,1.0,7.88
Shanghai-Coal_1000_SEA-11929,0.4,8.471
Shanghai-Coal_1000_SEA-11929,1.0,7.88
Shanghai-Coal_300_OT-11915,0.4,9.589
Shanghai-Coal_300_OT-11915,1.0,8.92
Shanghai-Coal_300_RC-11923,0.4,9.589
Shanghai-Coal_300_RC-11923,1.0,8.92
Shanghai-Coal_300_SEA-11933,0.4,9.589
Shanghai-Coal_300_SEA-11933,1.0,8.92
Shanghai-Coal_600_OT-11913,0.4,9.08375
Shanghai-Coal_600_OT-11913,1.0,8.45
Shanghai-Coal_600_RC-11921,0.4,9.08375
Shanghai-Coal_600_RC-11921,1.0,8.45
