PERIOD,carbon_cap_tco2_per_yr,carbon_cost_dollar_per_tco2
2020,968000000.0,0.0
2025,1213251345.3964016,0.0
2030,1249648885.7582936,0.0
2035,1061594927.2218513,0.0
2040,867474711.9584271,0.0
2045,667288239.9680209,0.0
2050,467101767.9776146,0.0
2055,266915295.98720837,0.0
2060,181987701.80946022,0.0
