GENERATION_PROJECT,gen_dbid,gen_tech,gen_energy_source,gen_load_zone,gen_max_age,gen_is_variable,gen_is_flexible_baseload,gen_is_baseload,gen_can_provide_spinning_reserves,gen_can_provide_quickstart_reserves,gen_full_load_heat_rate,gen_variable_om,gen_connect_cost_per_mw,gen_scheduled_outage_rate,gen_forced_outage_rate,gen_capacity_limit_mw,gen_min_build_capacity,gen_is_cogen,gen_storage_efficiency,gen_min_load_fraction,gen_is_pumped_hydro,gen_storage_energy_to_power_ratio
Anhui-Battery_Storage-11177,new.11177,Battery_Storage,Storage,Anhui,15,False,False,False,True,True,.,0.0,3000,0.0055,0.02,.,0,False,0.767,0.0,False,4
Anhui-Central_PV-401,new.401,Central_PV,Solar,Anhui,20,True,False,False,True,False,.,0.0,3000,0.0,0.02,8500,0,False,.,0.0,False,.
Anhui-Central_PV-402,new.402,Central_PV,Solar,Anhui,20,True,False,False,True,False,.,0.0,3000,0.0,0.02,8500,0,False,.,0.0,False,.
Anhui-Central_PV-403,new.403,Central_PV,Solar,Anhui,20,True,False,False,True,False,.,0.0,3000,0.0,0.02,8500,0,False,.,0.0,False,.
Anhui-Central_PV-404,new.404,Central_PV,Solar,Anhui,20,True,False,False,True,False,.,0.0,3000,0.0,0.02,8500,0,False,.,0.0,False,.
Anhui-Coal_1000_OT-12107,new.12107,Coal_1000_OT,Coal,Anhui,40,False,True,False,False,False,7.88,5.0,300,0.32,0.05,.,0,False,.,0.4,False,.
Anhui-Coal_1000_RC-12115,new.12115,Coal_1000_RC,Coal,Anhui,40,False,True,False,False,False,7.88,5.0,300,0.32,0.05,.,0,False,.,0.4,False,.
Anhui-Coal_1000_RC-12125,new.12125,Coal_1000_RC,Coal,Anhui,40,False,True,False,False,False,7.88,5.0,300,0.32,0.05,.,0,False,.,0.4,False,.
Anhui-Coal_300_OT-12111,new.12111,Coal_300_OT,Coal,Anhui,35,False,True,False,False,False,8.92,5.0,300,0.37,0.05,.,0,False,.,0.4,False,.
Anhui-Coal_300_RC-12119,new.12119,Coal_300_RC,Coal,Anhui,35,False,True,False,False,False,8.92,5.0,300,0.37,0.05,.,0,False,.,0.4,False,.
