GENERATION_PROJECT,build_year,gen_overnight_cost,gen_fixed_om,gen_storage_energy_overnight_cost
Jiangsu-EP_Coal_300_OT-ep-949,1994,628457,12086,.
Jiangsu-EP_Coal_300_OT-ep-950,1994,628457,12086,.
Jiangsu-EP_Coal_300_OT-ep-951,1993,628457,12086,.
Jiangsu-EP_Coal_300_OT-ep-952,1993,628457,12086,.
Jiangsu-EP_Coal_300_OT-ep-959,1994,628457,12086,.
Jiangsu-EP_Coal_300_OT-ep-960,1994,628457,12086,.
Jiangsu-EP_Coal_300_OT-ep-961,2000,628457,12086,.
Jiangsu-EP_Coal_300_OT-ep-962,1999,628457,12086,.
Jiangsu-EP_Coal_300_OT-ep-967,2005,628457,12086,.
Jiangsu-EP_Coal_300_OT-ep-968,2004,628457,12086,.
Jiangsu-EP_Coal_300_OT-ep-969,2004,628457,12086,.
Jiangsu-EP_Coal_300_OT-ep-970,2004,628457,12086,.
Jiangsu-EP_Coal_300_RC-ep-922,2005,628457,12086,.
Jiangsu-EP_Coal_300_RC-ep-923,2005,628457,12086,.
Jiangsu-EP_Coal_300_RC-ep-924,2005,628457,12086,.
Jiangsu-EP_Coal_300_RC-ep-925,2005,628457,12086,.
Jiangsu-EP_Coal_300_RC-ep-926,2006,628457,12086,.
Jiangsu-EP_Coal_300_RC-ep-927,2006,628457,12086,.
Jiangsu-EP_Coal_300_RC-ep-928,2005,628457,12086,.
Jiangsu-EP_Coal_300_RC-ep-929,2005,628457,12086,.
Jiangsu-EP_Coal_300_RC-ep-930,2011,628457,12086,.
Jiangsu-EP_Coal_300_RC-ep-931,2005,628457,12086,.
Jiangsu-EP_Coal_300_RC-ep-932,2005,628457,12086,.
Jiangsu-EP_Coal_300_RC-ep-933,2006,628457,12086,.
Jiangsu-EP_Coal_300_RC-ep-934,2005,628457,12086,.
Jiangsu-EP_Coal_300_RC-ep-936,2005,628457,12086,.
Jiangsu-EP_Coal_300_RC-ep-937,2004,628457,12086,.
Jiangsu-EP_Coal_300_RC-ep-938,2005,628457,12086,.
Jiangsu-EP_Coal_300_RC-ep-939,2005,628457,12086,.
Jiangsu-EP_Coal_300_RC-ep-953,2002,628457,12086,.
Jiangsu-EP_Coal_300_RC-ep-954,2002,628457,12086,.
Jiangsu-EP_Coal_300_RC-ep-955,2004,628457,12086,.
Jiangsu-EP_Coal_300_RC-ep-956,2004,628457,12086,.
Jiangsu-EP_Coal_300_RC-ep-957,1997,628457,12086,.
Jiangsu-EP_Coal_300_RC-ep-958,1996,628457,12086,.
Jiangsu-EP_Coal_300_RC-ep-963,2010,628457,12086,.
Jiangsu-EP_Coal_300_RC-ep-964,2009,628457,12086,.
Jiangsu-EP_Coal_300_RC-ep-965,2011,628457,12086,.
Jiangsu-EP_Coal_300_RC-ep-966,2009,628457,12086,.
Jiangsu-EP_Coal_600_OT-ep-3076,2016,512262,9400,.
Jiangsu-EP_Coal_600_OT-ep-3077,2016,512262,9400,.
Jiangsu-EP_Coal_600_OT-ep-863,2011,512262,9400,.
Jiangsu-EP_Coal_600_OT-ep-864,2011,512262,9400,.
Jiangsu-EP_Coal_600_OT-ep-869,2010,512262,9400,.
Jiangsu-EP_Coal_600_OT-ep-870,2010,512262,9400,.
Jiangsu-EP_Coal_600_OT-ep-871,2014,512262,9400,.
Jiangsu-EP_Coal_600_OT-ep-872,2014,512262,9400,.
Jiangsu-EP_Coal_600_OT-ep-875,2005,512262,9400,.
Jiangsu-EP_Coal_600_OT-ep-876,2005,512262,9400,.
