GENERATION_PROJECT,PERIOD,gen_tech,gen_load_zone,gen_energy_source,BuildGen,BuildStorageEnergy,GenCapitalOutlay
Anhui-Coal_1000_RC-12115,2025,Coal_1000_RC,Anhui,Coal,2.06491e-06,.,1.19536
Anhui-Coal_1000_RC-12115,2030,Coal_1000_RC,Anhui,Coal,2.43727e-06,.,1.41092
Anhui-Coal_1000_RC-12115,2035,Coal_1000_RC,Anhui,Coal,2.19125e-06,.,1.2685
Anhui-Coal_1000_RC-12115,2040,Coal_1000_RC,Anhui,Coal,1.08341e-05,.,6.27176
Anhui-Coal_1000_RC-12115,2045,Coal_1000_RC,Anhui,Coal,1.16706e-05,.,6.75603
Anhui-Coal_1000_RC-12115,2050,Coal_1000_RC,Anhui,Coal,0.000407968,.,236.17
Anhui-Coal_1000_RC-12115,2055,Coal_1000_RC,Anhui,Coal,0.000157557,.,91.2083
Anhui-Coal_1000_RC-12115,2060,Coal_1000_RC,Anhui,Coal,0.000227793,.,131.868
Anhui-Coal_1000_RC-12125,2020,Coal_1000_RC,Anhui,Coal,4.7903e-06,.,2.77307
Anhui-Coal_1000_RC-12125,2025,Coal_1000_RC,Anhui,Coal,2.13662e-06,.,1.23687
Anhui-Coal_1000_RC-12125,2030,Coal_1000_RC,Anhui,Coal,2.18983e-06,.,1.26767
Anhui-Coal_1000_RC-12125,2035,Coal_1000_RC,Anhui,Coal,2.17895e-06,.,1.26138
Anhui-Coal_1000_RC-12125,2040,Coal_1000_RC,Anhui,Coal,1.08195e-05,.,6.26334
Anhui-Coal_1000_RC-12125,2045,Coal_1000_RC,Anhui,Coal,1.06921e-05,.,6.18958
Anhui-Coal_1000_RC-12125,2050,Coal_1000_RC,Anhui,Coal,0.000399773,.,231.426
Anhui-Coal_1000_RC-12125,2055,Coal_1000_RC,Anhui,Coal,0.000165125,.,95.5896
Anhui-Coal_1000_RC-12125,2060,Coal_1000_RC,Anhui,Coal,0.000228608,.,132.339
Anhui-Coal_300_OT-12111,2020,Coal_300_OT,Anhui,Coal,3.30588e-06,.,1.95679
Anhui-Coal_300_OT-12111,2025,Coal_300_OT,Anhui,Coal,1.25207e-06,.,0.741114
Anhui-Coal_300_OT-12111,2030,Coal_300_OT,Anhui,Coal,1.40526e-06,.,0.831787
Anhui-Coal_300_OT-12111,2035,Coal_300_OT,Anhui,Coal,1.0201e-06,.,0.603811
Anhui-Coal_300_OT-12111,2040,Coal_300_OT,Anhui,Coal,1.02805e-05,.,6.08515
Anhui-Coal_300_OT-12111,2045,Coal_300_OT,Anhui,Coal,8.32953e-06,.,4.93034
Anhui-Coal_300_OT-12111,2050,Coal_300_OT,Anhui,Coal,0.000176713,.,104.599
Anhui-Coal_300_OT-12111,2055,Coal_300_OT,Anhui,Coal,7.52992e-05,.,44.5704
Anhui-Coal_300_OT-12111,2060,Coal_300_OT,Anhui,Coal,0.000107462,.,63.6078
Anhui-Coal_300_RC-12119,2020,Coal_300_RC,Anhui,Coal,3.22442e-06,.,2.03264
Anhui-Coal_300_RC-12119,2025,Coal_300_RC,Anhui,Coal,1.38131e-06,.,0.870766
Anhui-Coal_300_RC-12119,2030,Coal_300_RC,Anhui,Coal,1.29179e-06,.,0.814333
Anhui-Coal_300_RC-12119,2035,Coal_300_RC,Anhui,Coal,9.39143e-07,.,0.592027
Anhui-Coal_300_RC-12119,2040,Coal_300_RC,Anhui,Coal,1.029e-05,.,6.4867
Anhui-Coal_300_RC-12119,2045,Coal_300_RC,Anhui,Coal,8.24189e-06,.,5.19561
Anhui-Coal_300_RC-12119,2050,Coal_300_RC,Anhui,Coal,0.000115802,.,73.0004
Anhui-Coal_300_RC-12119,2055,Coal_300_RC,Anhui,Coal,4.71232e-05,.,29.706
Anhui-Coal_300_RC-12119,2060,Coal_300_RC,Anhui,Coal,6.21631e-05,.,39.1871
Anhui-Coal_300_RC-12129,2020,Coal_300_RC,Anhui,Coal,3.22289e-06,.,2.03168
Anhui-Coal_300_RC-12129,2025,Coal_300_RC,Anhui,Coal,1.29515e-06,.,0.816453
Anhui-Coal_300_RC-12129,2030,Coal_300_RC,Anhui,Coal,1.19696e-06,.,0.754553
Anhui-Coal_300_RC-12129,2035,Coal_300_RC,Anhui,Coal,9.57326e-07,.,0.60349
Anhui-Coal_300_RC-12129,2040,Coal_300_RC,Anhui,Coal,9.77556e-06,.,6.16242
Anhui-Coal_300_RC-12129,2045,Coal_300_RC,Anhui,Coal,7.92859e-06,.,4.99811
Anhui-Coal_300_RC-12129,2050,Coal_300_RC,Anhui,Coal,0.00011068,.,69.7718
Anhui-Coal_300_RC-12129,2055,Coal_300_RC,Anhui,Coal,4.80865e-05,.,30.3133
Anhui-Coal_300_RC-12129,2060,Coal_300_RC,Anhui,Coal,6.32909e-05,.,39.898
Anhui-Coal_600_OT-12109,2020,Coal_600_OT,Anhui,Coal,3.88844e-06,.,2.22677
Anhui-Coal_600_OT-12109,2025,Coal_600_OT,Anhui,Coal,1.60056e-06,.,0.916582
Anhui-Coal_600_OT-12109,2030,Coal_600_OT,Anhui,Coal,1.55071e-06,.,0.888035
Anhui-Coal_600_OT-12109,2035,Coal_600_OT,Anhui,Coal,1.20439e-06,.,0.689711
Anhui-Coal_600_OT-12109,2040,Coal_600_OT,Anhui,Coal,1.13092e-05,.,6.47637
Anhui-Coal_600_OT-12109,2045,Coal_600_OT,Anhui,Coal,9.44575e-06,.,5.40924
Anhui-Coal_600_OT-12109,2050,Coal_600_OT,Anhui,Coal,0.000422883,.,242.17
Anhui-Coal_600_OT-12109,2055,Coal_600_OT,Anhui,Coal,0.000191265,.,109.531
Anhui-Coal_600_OT-12109,2060,Coal_600_OT,Anhui,Coal,0.000279429,.,160.019
Anhui-Coal_600_RC-12117,2020,Coal_600_RC,Anhui,Coal,3.98919e-06,.,2.3267
Anhui-Coal_600_RC-12117,2025,Coal_600_RC,Anhui,Coal,1.63744e-06,.,0.955038
Anhui-Coal_600_RC-12117,2030,Coal_600_RC,Anhui,Coal,1.56964e-06,.,0.915494
Anhui-Coal_600_RC-12117,2035,Coal_600_RC,Anhui,Coal,1.17004e-06,.,0.682427
Anhui-Coal_600_RC-12117,2040,Coal_600_RC,Anhui,Coal,1.09104e-05,.,6.3635
Anhui-Coal_600_RC-12117,2045,Coal_600_RC,Anhui,Coal,9.30564e-06,.,5.42752
Anhui-Coal_600_RC-12117,2050,Coal_600_RC,Anhui,Coal,0.00030272,.,176.562
Anhui-Coal_600_RC-12117,2055,Coal_600_RC,Anhui,Coal,0.000130929,.,76.3642
Anhui-Coal_600_RC-12117,2060,Coal_600_RC,Anhui,Coal,0.000188,.,109.651
Anhui-Coal_600_RC-12127,2020,Coal_600_RC,Anhui,Coal,3.83496e-06,.,2.23674
Anhui-Coal_600_RC-12127,2025,Coal_600_RC,Anhui,Coal,1.57856e-06,.,0.920699
Anhui-Coal_600_RC-12127,2030,Coal_600_RC,Anhui,Coal,1.5087e-06,.,0.879951
Anhui-Coal_600_RC-12127,2035,Coal_600_RC,Anhui,Coal,1.03198e-06,.,0.601904
Anhui-Coal_600_RC-12127,2040,Coal_600_RC,Anhui,Coal,1.13191e-05,.,6.60188
Anhui-Coal_600_RC-12127,2045,Coal_600_RC,Anhui,Coal,9.31079e-06,.,5.43053
Anhui-Coal_600_RC-12127,2050,Coal_600_RC,Anhui,Coal,0.000302396,.,176.373
Anhui-Coal_600_RC-12127,2055,Coal_600_RC,Anhui,Coal,0.000125381,.,73.1287
Anhui-Coal_600_RC-12127,2060,Coal_600_RC,Anhui,Coal,0.000188273,.,109.811
Anhui-Coal_IGCC_RC-12121,2020,Coal_IGCC_RC,Anhui,Coal,1.57115e-06,.,2.56912
Anhui-Coal_IGCC_RC-12121,2025,Coal_IGCC_RC,Anhui,Coal,6.66902e-07,.,1.0905
Anhui-Coal_IGCC_RC-12121,2030,Coal_IGCC_RC,Anhui,Coal,6.83732e-07,.,1.11802
Anhui-Coal_IGCC_RC-12121,2035,Coal_IGCC_RC,Anhui,Coal,5.24046e-07,.,0.85691
Anhui-Coal_IGCC_RC-12121,2040,Coal_IGCC_RC,Anhui,Coal,4.6171e-06,.,7.54979
Anhui-Coal_IGCC_RC-12121,2045,Coal_IGCC_RC,Anhui,Coal,3.86371e-06,.,6.31785
Anhui-Coal_IGCC_RC-12121,2050,Coal_IGCC_RC,Anhui,Coal,1.24038e-05,.,20.2825
Anhui-Coal_IGCC_RC-12121,2055,Coal_IGCC_RC,Anhui,Coal,6.60008e-06,.,10.7923
Anhui-Coal_IGCC_RC-12121,2060,Coal_IGCC_RC,Anhui,Coal,9.3246e-06,.,15.2474
Anhui-Coal_IGCC_RC-12131,2020,Coal_IGCC_RC,Anhui,Coal,1.62032e-06,.,2.64951
Anhui-Coal_IGCC_RC-12131,2025,Coal_IGCC_RC,Anhui,Coal,6.19813e-07,.,1.01351
Anhui-Coal_IGCC_RC-12131,2030,Coal_IGCC_RC,Anhui,Coal,6.8168e-07,.,1.11467
Anhui-Coal_IGCC_RC-12131,2035,Coal_IGCC_RC,Anhui,Coal,5.23188e-07,.,0.855507
Anhui-Coal_IGCC_RC-12131,2040,Coal_IGCC_RC,Anhui,Coal,4.27794e-06,.,6.99521
Anhui-Coal_IGCC_RC-12131,2045,Coal_IGCC_RC,Anhui,Coal,3.70416e-06,.,6.05696
Anhui-Coal_IGCC_RC-12131,2050,Coal_IGCC_RC,Anhui,Coal,1.19262e-05,.,19.5015
Anhui-Coal_IGCC_RC-12131,2055,Coal_IGCC_RC,Anhui,Coal,6.89433e-06,.,11.2735
Anhui-Coal_IGCC_RC-12131,2060,Coal_IGCC_RC,Anhui,Coal,8.82787e-06,.,14.4352
Anhui-Commercial_PV-2,2020,Commercial_PV,Anhui,Solar,8.85594e-07,.,1.32839
Anhui-Commercial_PV-2,2025,Commercial_PV,Anhui,Solar,4.97039e-07,.,0.745559
Anhui-Commercial_PV-2,2030,Commercial_PV,Anhui,Solar,1.30943e-06,.,1.96415
Anhui-Commercial_PV-2,2035,Commercial_PV,Anhui,Solar,8.55896e-06,.,12.8384
Anhui-Commercial_PV-2,2040,Commercial_PV,Anhui,Solar,3.15352e-08,.,0.0473028
Anhui-Commercial_PV-2,2045,Commercial_PV,Anhui,Solar,8.1691e-08,.,0.122536
Anhui-Commercial_PV-2,2050,Commercial_PV,Anhui,Solar,4.8021e-07,.,0.720314
Anhui-Commercial_PV-2,2055,Commercial_PV,Anhui,Solar,1.11343e-05,.,16.7015
Anhui-Commercial_PV-2,2060,Commercial_PV,Anhui,Solar,6.99304e-06,.,10.4896
Anhui-Commercial_PV-3,2020,Commercial_PV,Anhui,Solar,8.85598e-07,.,1.3284
Anhui-Commercial_PV-3,2025,Commercial_PV,Anhui,Solar,4.97041e-07,.,0.745561
Anhui-Commercial_PV-3,2030,Commercial_PV,Anhui,Solar,1.30942e-06,.,1.96413
Anhui-Commercial_PV-3,2035,Commercial_PV,Anhui,Solar,8.56013e-06,.,12.8402
Anhui-Commercial_PV-3,2040,Commercial_PV,Anhui,Solar,3.15352e-08,.,0.0473028
Anhui-Commercial_PV-3,2045,Commercial_PV,Anhui,Solar,8.1691e-08,.,0.122537
Anhui-Commercial_PV-3,2050,Commercial_PV,Anhui,Solar,4.80211e-07,.,0.720317
Anhui-Commercial_PV-3,2055,Commercial_PV,Anhui,Solar,1.11343e-05,.,16.7014
Anhui-Commercial_PV-3,2060,Commercial_PV,Anhui,Solar,6.99303e-06,.,10.4896
Anhui-Commercial_PV-4,2020,Commercial_PV,Anhui,Solar,8.85597e-07,.,1.3284
Anhui-Commercial_PV-4,2025,Commercial_PV,Anhui,Solar,4.9704e-07,.,0.74556
Anhui-Commercial_PV-4,2030,Commercial_PV,Anhui,Solar,1.30943e-06,.,1.96415
Anhui-Commercial_PV-4,2035,Commercial_PV,Anhui,Solar,8.55896e-06,.,12.8384
Anhui-Commercial_PV-4,2040,Commercial_PV,Anhui,Solar,3.15352e-08,.,0.0473028
Anhui-Commercial_PV-4,2045,Commercial_PV,Anhui,Solar,8.1691e-08,.,0.122536
Anhui-Commercial_PV-4,2050,Commercial_PV,Anhui,Solar,4.8021e-07,.,0.720315
Anhui-Commercial_PV-4,2055,Commercial_PV,Anhui,Solar,1.11343e-05,.,16.7014
Anhui-Commercial_PV-4,2060,Commercial_PV,Anhui,Solar,6.99303e-06,.,10.4896
Anhui-Gas_CCGT_OT-12113,2020,Gas_CCGT_OT,Anhui,Gas,2.08038e-06,.,1.38533
Anhui-Gas_CCGT_OT-12113,2025,Gas_CCGT_OT,Anhui,Gas,1.14129e-06,.,0.759986
Anhui-Gas_CCGT_OT-12113,2030,Gas_CCGT_OT,Anhui,Gas,1.93751e-06,.,1.29019
Anhui-Gas_CCGT_OT-12113,2035,Gas_CCGT_OT,Anhui,Gas,18048.1,.,1.20182e+10
Anhui-Gas_CCGT_OT-12113,2040,Gas_CCGT_OT,Anhui,Gas,3.78453e-08,.,0.0252012
Anhui-Gas_CCGT_OT-12113,2045,Gas_CCGT_OT,Anhui,Gas,8.3578e-08,.,0.0556546
Anhui-Gas_CCGT_OT-12113,2050,Gas_CCGT_OT,Anhui,Gas,4.75644e-07,.,0.316731
Anhui-Gas_CCGT_OT-12113,2055,Gas_CCGT_OT,Anhui,Gas,5.62593e-05,.,37.4631
Anhui-Gas_CCGT_OT-12113,2060,Gas_CCGT_OT,Anhui,Gas,3.04422e-05,.,20.2715
Anhui-Gas_CCGT_RC-12123,2020,Gas_CCGT_RC,Anhui,Gas,1.71433e-06,.,1.14157
Anhui-Gas_CCGT_RC-12123,2025,Gas_CCGT_RC,Anhui,Gas,8.65896e-07,.,0.5766
Anhui-Gas_CCGT_RC-12123,2030,Gas_CCGT_RC,Anhui,Gas,1.71241e-06,.,1.1403
Anhui-Gas_CCGT_RC-12123,2035,Gas_CCGT_RC,Anhui,Gas,5.10973e-06,.,3.40257
Anhui-Gas_CCGT_RC-12123,2040,Gas_CCGT_RC,Anhui,Gas,3.62419e-07,.,0.241335
Anhui-Gas_CCGT_RC-12123,2045,Gas_CCGT_RC,Anhui,Gas,3.11857e-06,.,2.07666
Anhui-Gas_CCGT_RC-12123,2050,Gas_CCGT_RC,Anhui,Gas,3.00106e-05,.,19.9841
Anhui-Gas_CCGT_RC-12123,2055,Gas_CCGT_RC,Anhui,Gas,2.3643e-05,.,15.7439
Anhui-Gas_CCGT_RC-12123,2060,Gas_CCGT_RC,Anhui,Gas,2.95208e-05,.,19.6579
