gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
Battery_Storage,Anhui,Storage,2020,-1.6580976916174718e-06,0.0,0.0,3.155859416814772e-06,0.5489752702077301,0.04235478923307105,108.33789642135055,0.19743666333193086,7.116299105654393e-06,5.458201414036921e-06
Battery_Storage,Anhui,Storage,2025,-2.026247911914205e-06,0.0,0.0,4.10287353563955e-06,0.713712434671505,0.0550646657218184,115.25729299895966,0.18558368173738785,8.696342969588886e-06,6.670095057674682e-06
Battery_Storage,Anhui,Storage,2030,-2.0884558766982288e-06,0.0,0.0,6.690269605947958e-06,1.1216774493150177,0.08653257672890925,175.74285934659002,0.11730513444440624,8.963329942910865e-06,6.874874066212637e-06
Battery_Storage,Anhui,Storage,2035,-1.321402913674003e-06,0.0,0.0,9.971107985542007e-06,1.5740907643373943,0.12141816105274406,389.78522890223036,0.049799751680740564,5.671257140231731e-06,4.349854226557728e-06
Battery_Storage,Anhui,Storage,2040,-1.0113424822721497e-05,0.0,0.0,1.6407076337705384e-05,2.5579603241983744,0.19730407421585455,82.76097285492884,0.23163404352992642,4.340525674987772e-05,3.329183192715622e-05
Battery_Storage,Anhui,Storage,2045,-1.4703065316049596e-05,0.0,0.0,2.4043717040140086e-05,3.740598759185501,0.28852460448168105,83.24597329840924,0.2297955503520357,6.310328461823865e-05,4.840021930218906e-05
Battery_Storage,Anhui,Storage,2050,-2.5780202885392914e-05,0.0,0.0,4.841631807769987e-05,7.5323636118086466,0.5809958169323984,95.60375323546046,0.200092084267707,0.00011064464757679353,8.48644446914006e-05
Battery_Storage,Anhui,Storage,2055,-7.746477562218647e-05,0.0,0.0,0.00013522703048563805,21.03793109852579,1.6227243658276567,88.86459328932499,0.21526632307219246,0.00033246684816389015,0.0002550020725417037
Battery_Storage,Anhui,Storage,2060,-1374.9326403512794,0.0,0.0,2682.020229968291,417255016.25148684,32184242.759619493,99.30020403441095,0.1926436550127306,5900.99845644326,4526.06581609198
Battery_Storage,Fujian,Storage,2020,-1.6670723429859484e-06,0.0,0.0,3.311776931061657e-06,0.5760977900062173,0.044447358191778495,113.07835836482428,0.18915973923871196,7.154816922686454e-06,5.487744579700506e-06
Battery_Storage,Fujian,Storage,2025,-2.031835979052499e-06,0.0,0.0,4.08267055246732e-06,0.7101980391674202,0.0547935214846639,114.37432782616739,0.187016380234744,8.720326090354063e-06,6.6884901113015656e-06
Battery_Storage,Fujian,Storage,2030,-2.2973784148527225e-06,0.0,0.0,7.35180125612975e-06,1.2256548610649003,0.09455268910260638,174.5702496073479,0.11742866266948988,9.859993196792846e-06,7.562614781940125e-06
Battery_Storage,Fujian,Storage,2035,-1.5132275886769105e-06,0.0,0.0,1.003837460338743e-05,1.5827497870926837,0.1220855342506599,342.24628378079393,0.05664690534696317,6.494539007197022e-06,4.981311418520112e-06
Battery_Storage,Fujian,Storage,2040,-1.0467502364319394e-05,0.0,0.0,1.7283938169313636e-05,2.695809024875042,0.20793685720575694,84.27060199129276,0.2275808422668124,4.492490285115617e-05,3.4457400486836774e-05
Battery_Storage,Fujian,Storage,2045,-1.526345839512888e-05,0.0,0.0,2.5084796917498563e-05,3.9025646520197403,0.3010175630099827,83.66179065268223,0.22865341632614836,6.550840512930395e-05,5.024494673417505e-05
Battery_Storage,Fujian,Storage,2050,-2.215067406188218e-05,0.0,0.0,3.6612743763718414e-05,5.696023774706003,0.439352925164621,84.1423898919924,0.22734740804550552,9.506727065185508e-05,7.29165965899729e-05
Battery_Storage,Fujian,Storage,2055,-5.047052799129687e-05,0.0,0.0,7.929102756130222e-05,12.335693304624849,0.9514923307356267,79.97526937809761,0.23919337061886442,0.00021661170811715418,0.0001661411801258573
Battery_Storage,Fujian,Storage,2060,-0.00020049387145972138,0.0,0.0,0.00031147975446209407,48.45843016315606,3.737757053545129,79.085749584358,0.2418837065999355,0.0008604887187112525,0.000659994847251531
Battery_Storage,Jiangsu,Storage,2020,-1.6244339531057083e-06,0.0,0.0,2.9015351369106736e-06,0.5047344717942013,0.03894150307247815,101.6713618098688,0.21038247546867778,6.971819541226229e-06,5.34738558812052e-06
Battery_Storage,Jiangsu,Storage,2025,-2.00723251328134e-06,0.0,0.0,3.834893430582109e-06,0.6670961469495735,0.05146810473184249,108.74980362301233,0.1966888405240809,8.614731816658124e-06,6.607499303376784e-06
Battery_Storage,Jiangsu,Storage,2030,-2.0898051556237043e-06,0.0,0.0,6.420422376299309e-06,1.0747667646432204,0.08291330776965507,168.28419069525398,0.12231438425044262,8.969120839586674e-06,6.879315683962968e-06
Battery_Storage,Jiangsu,Storage,2035,-1.3196588400065698e-06,0.0,0.0,9.320977648068496e-06,1.4726919002282421,0.11359688960133524,365.1582700117716,0.053202928904634454,5.663771845521795e-06,4.344113005515225e-06
Battery_Storage,Jiangsu,Storage,2040,-1.005666689169306e-05,0.0,0.0,1.549954186040341e-05,2.416766823747623,0.18641335801404713,78.634063917497,0.24382068135156598,4.31616604793694e-05,3.310499358767634e-05
Battery_Storage,Jiangsu,Storage,2045,-1.462811273355169e-05,0.0,0.0,2.2750677300130786e-05,3.539434237120066,0.27300812760156945,79.17271632281026,0.24161801106712125,6.278159971481423e-05,4.815348698126254e-05
Battery_Storage,Jiangsu,Storage,2050,-2.1282551792403118e-05,0.0,0.0,3.337747232464053e-05,5.192696759567728,0.40052966789568634,79.8360900065813,0.23961035976488668,9.134142400173019e-05,7.005887220932707e-05
Battery_Storage,Jiangsu,Storage,2055,-4.6742253313674e-05,0.0,0.0,7.050094011400789e-05,10.968176371049687,0.8460112813680947,76.78117910300197,0.24914379372888396,0.00020061052924323544,0.0001538682759295614
Battery_Storage,Jiangsu,Storage,2060,-0.00016240934894287202,0.0,0.0,0.00024414667263961815,37.98309301387883,2.9297600716754175,76.52605015575044,0.24997441014876884,0.0006970358323728404,0.0005346264834299684
Battery_Storage,Shanghai,Storage,2020,-1.9278328536168704e-06,0.0,0.0,4.204270679477512e-06,0.7313509023865592,0.05642551678926769,124.13497374178357,0.17231141343232909,8.2739607451368e-06,6.34612789151993e-06
Battery_Storage,Shanghai,Storage,2025,-2.553009950182534e-06,0.0,0.0,6.401587525908745e-06,1.113583584575895,0.08591570618522126,142.7276269705782,0.1498649787419298,1.0957124249710405e-05,8.404114299527873e-06
Battery_Storage,Shanghai,Storage,2030,-2.2537588159366555e-06,0.0,0.0,7.0058227289165745e-06,1.2088557488463743,0.0932644147242025,175.51093611935386,0.12088812212396272,9.672784617753855e-06,7.419025801817202e-06
Battery_Storage,Shanghai,Storage,2035,-1.3185146506306708e-06,0.0,0.0,9.331294494100224e-06,1.493368843092431,0.11519580727086873,370.6074264654195,0.053098029035894986,5.658861161505005e-06,4.340346510874334e-06
Battery_Storage,Shanghai,Storage,2040,-1.2069036899169595e-05,0.0,0.0,2.1429932223363033e-05,3.335227796066585,0.25725707278324367,90.4238282307513,0.2116348352004552,5.179844162733722e-05,3.972940472816763e-05
Battery_Storage,Shanghai,Storage,2045,-1.775989692480862e-05,0.0,0.0,3.510305404825259e-05,5.461153955409807,0.4212366485790311,100.61760496490979,0.1901213436293799,7.622273358286969e-05,5.846283665806108e-05
Battery_Storage,Shanghai,Storage,2050,-2.576734852970519e-05,0.0,0.0,4.843008586949895e-05,7.53450553457518,0.5811610304339874,95.67864602966418,0.19993546149020436,0.00011058947866826284,8.482213013855765e-05
Battery_Storage,Shanghai,Storage,2055,-8.010777194247496e-05,0.0,0.0,0.00013982234280595282,21.752846331255512,1.6778681136714337,88.85286492670876,0.21529473770460902,0.00034381018001062246,0.00026370240806814746
Battery_Storage,Shanghai,Storage,2060,-3597.832712184124,0.0,0.0,6626.703395202485,1030948686.3533784,79520440.74242982,93.76183102261983,0.204022831466291,15441.34211237822,11843.509400194096
Battery_Storage,Sichuan,Storage,2020,-1.9604751741938825e-06,0.0,0.0,3.0151030031450257e-06,0.5244900888285763,0.04046569740520939,87.54143692782624,0.24433997810050478,8.414056541604665e-06,6.453581367410783e-06
Battery_Storage,Sichuan,Storage,2025,-2.387599078085171e-06,0.0,0.0,3.888915905426325e-06,0.6764935879657599,0.052193140366726704,92.71286766696481,0.2307109392696885,1.0247206343713199e-05,7.859607265628029e-06
Battery_Storage,Sichuan,Storage,2030,-3.201575542005566e-06,0.0,0.0,6.629250745446352e-06,1.1085730658493458,0.08552109269105027,113.30142637013049,0.18148245443906144,1.3740667562255664e-05,1.0539092020250097e-05
Battery_Storage,Sichuan,Storage,2035,-3.6870633796346505e-06,0.0,0.0,1.0453241127182284e-05,1.648074213763856,0.12712451590441237,146.26045914624177,0.13254549499357504,1.5824306350363307e-05,1.2137242970728653e-05
Battery_Storage,Sichuan,Storage,2040,-1.1790619769914662e-05,0.0,0.0,1.7216060532024142e-05,2.684138985630346,0.20703666062837295,74.49007298681329,0.2573583064452292,5.060351832581397e-05,3.8812898555899304e-05
Battery_Storage,Sichuan,Storage,2045,-1.7490767768118257e-05,0.0,0.0,2.625863906021846e-05,4.085185020376567,0.3151036687226215,76.42454356980522,0.25030642454836677,7.506767282454194e-05,5.7576905056423665e-05
Battery_Storage,Sichuan,Storage,2050,-2.1136508775490663e-05,0.0,0.0,3.4862720955465743e-05,5.423764159681931,0.418352651465589,83.9648543760656,0.2278281120219717,9.071462993772816e-05,6.957812116223749e-05
Battery_Storage,Sichuan,Storage,2055,-3.151324091924988e-05,0.0,0.0,5.9618416153984724e-05,9.27512884625516,0.7154209938478167,96.30678345857571,0.19863143136669062,0.0001352499610268236,0.0001037367201075737
Battery_Storage,Sichuan,Storage,2060,-4.758859582899497e-05,0.0,0.0,9.569685610264782e-05,14.888028360919037,1.148362273231774,102.36801767011576,0.18687041796925705,0.00020424290055362683,0.00015665430472463186
Battery_Storage,Zhejiang,Storage,2020,-1.6322078235343223e-06,0.0,0.0,3.1818052301976063e-06,0.5534886556382436,0.042703007994482074,110.96116326084623,0.19276900271447875,7.005183791992811e-06,5.372975968458489e-06
Battery_Storage,Zhejiang,Storage,2025,-2.004083482640901e-06,0.0,0.0,4.061687288971958e-06,0.7065479105571816,0.05451190510529264,115.36220275924276,0.18541491294572252,8.601216663694853e-06,6.5971331810539525e-06
Battery_Storage,Zhejiang,Storage,2030,-2.2187944175314973e-06,0.0,0.0,6.531918419170666e-06,1.0960390637551747,0.08455485611076934,161.6382109030324,0.12764730479297345,9.522722822023603e-06,7.3039284044921064e-06
Battery_Storage,Zhejiang,Storage,2035,-1.3249708514931505e-06,0.0,0.0,8.755229930270306e-06,1.3834508787885595,0.10671324901185422,341.6554378840152,0.056868805327906384,5.68657017808222e-06,4.361599326589068e-06
Battery_Storage,Zhejiang,Storage,2040,-9.888951630401847e-06,0.0,0.0,1.47067622861418e-05,2.293188205622994,0.1768813248767938,75.87863032784036,0.25267863183106926,4.244185249099504e-05,3.2552900860593204e-05
Battery_Storage,Zhejiang,Storage,2045,-1.478733425281391e-05,0.0,0.0,2.2770899526373256e-05,3.5425803078488256,0.2732507943164791,78.3898459251423,0.2440310224230626,6.34649538747379e-05,4.867761962192399e-05
Battery_Storage,Zhejiang,Storage,2050,-2.1546095259573704e-05,0.0,0.0,3.371161888569359e-05,5.244681575791213,0.4045394266283231,79.6490401530696,0.24017306689365775,9.247251184366383e-05,7.092641658409012e-05
Battery_Storage,Zhejiang,Storage,2055,-4.802827037593835e-05,0.0,0.0,7.425669567815075e-05,11.552477649407894,0.891080348137809,78.70606258406977,0.24305058111966424,0.00020612991577655964,0.00015810164540062125
Battery_Storage,Zhejiang,Storage,2060,-0.00017763125928811944,0.0,0.0,0.000273156286095938,42.49626058767793,3.2778754331512556,78.2818928319586,0.24436754856915233,0.0007623659196915006,0.0005847346604033812
Central_PV,Anhui,Solar,2020,3.607054290870171e-06,0.0,0.0,5.6571460646331705e-06,0.6931599652486529,0.06788575277559805,210.9881517310501,0.07278655770083943,0.0,0.0
Central_PV,Anhui,Solar,2025,7.201228757484012e-06,0.0,0.0,1.0405034783781825e-05,1.2749102580587,0.1248604174053819,194.3794208744367,0.07900579809879035,0.0,0.0
Central_PV,Anhui,Solar,2030,28807.0329955643,0.0,0.0,32546.08096737486,3987812952.7822695,390552971.60849833,151.98947857854532,0.1010405550686147,0.0,0.0
Central_PV,Anhui,Solar,2035,30093.91892295509,0.0,0.0,33999.999999555046,4165959045.2299857,407999999.99466056,151.9894785698952,0.10104055507436518,0.0,0.0
Central_PV,Anhui,Solar,2040,30093.91889438897,0.0,0.0,33999.999993994235,4165959044.5486293,407999999.92793083,151.98947868931015,0.10104055499497974,0.0,0.0
Central_PV,Anhui,Solar,2045,30093.9188792295,0.0,0.0,33999.99998943389,4165959043.989858,407999999.8732067,151.98947874548708,0.10104055495763405,0.0,0.0
Central_PV,Anhui,Solar,2050,1286.8858738337633,0.0,0.0,1453.9190329830033,178146092.5460836,17447028.39579604,151.989484785615,0.10104055094223865,0.0,0.0
Central_PV,Anhui,Solar,2055,4.229646726106736e-05,0.0,0.0,7.005563937879374e-05,8.583791898331622,0.8406676725455249,222.8190716899915,0.06892184391438404,0.0,0.0
Central_PV,Anhui,Solar,2060,7.235361978022966e-05,0.0,0.0,0.00011787764302202091,14.443336270129587,1.4145317162642508,219.17172954941697,0.07006880546016295,0.0,0.0
Central_PV,Fujian,Solar,2020,5.923732038783326e-06,0.0,0.0,8.790678384882488e-06,1.0771060626967113,0.10548814061858985,199.6366809931183,0.07692524842513745,0.0,0.0
Central_PV,Fujian,Solar,2025,1.1907815688804763e-05,0.0,0.0,1.6331254810160727e-05,2.001039373448093,0.19597505772192872,184.50188418985726,0.08323547126685538,0.0,0.0
Central_PV,Fujian,Solar,2030,84611.74061857836,0.0,0.0,92279.99320448446,11306902129.088667,1107359918.4538136,146.72032458834275,0.10466921555178796,0.0,0.0
Central_PV,Fujian,Solar,2035,256732.65194946615,0.0,0.0,280000.00001739874,34307898022.121876,3360000000.208785,146.72032457229088,0.10466921556323924,0.0,0.0
Central_PV,Fujian,Solar,2040,256732.6519046016,0.0,0.0,280000.0000087471,34307898021.061806,3360000000.104965,146.7203245933971,0.10466921554818222,0.0,0.0
Central_PV,Fujian,Solar,2045,256732.65187869483,0.0,0.0,280000.00000146835,34307898020.16995,3360000000.01762,146.72032460438845,0.10466921554034105,0.0,0.0
Central_PV,Fujian,Solar,2050,172120.9112394845,0.0,0.0,187720.00681397138,23000995893.162735,2252640081.7676563,146.72032464314083,0.1046692155126954,0.0,0.0
Central_PV,Fujian,Solar,2055,5.555577571631633e-05,0.0,0.0,9.059782709537715e-05,11.100789331503178,1.0871739251445258,219.38246923025477,0.07000149708428782,0.0,0.0
Central_PV,Fujian,Solar,2060,9.487966971396282e-05,0.0,0.0,0.00015124310666918479,18.53154671368881,1.8149172800302176,214.44492856117915,0.07161326398905397,0.0,0.0
Central_PV,Jiangsu,Solar,2020,6.8056888901957324e-06,0.0,0.0,1.015299104378203e-05,1.2440277904569503,0.12183589252538435,200.69440508072537,0.07651982761546566,0.0,0.0
Central_PV,Jiangsu,Solar,2025,1.3686685380345684e-05,0.0,0.0,1.884151270958689e-05,2.3086167735101903,0.2260981525150427,185.19567415972952,0.08292365007899799,0.0,0.0
Central_PV,Jiangsu,Solar,2030,7355.410315993276,0.0,0.0,7999.999809720058,980225634.399341,95999997.7166407,146.3175520984716,0.10495734148033192,0.0,0.0
